,yield_spread,yield_spread_3m_avg,yield_inverted,unrate,unrate_mom,unrate_3m_avg,unrate_yoy,icsa,icsa_3m_avg,icsa_yoy_pct,indpro_mom_pct,indpro_yoy_pct,umcsent,umcsent_yoy,credit_spread,credit_spread_3m_avg,credit_spread_mom,payems_mom,payems_3m_avg,USREC
1991-01-31,0.9676190476190476,0.8407063492063491,0,6.4,0.10000000000000053,6.3,1.0,439750.0,447166.6666666667,21.81440443213296,-0.3255879168894804,-0.961460577686335,66.8,-26.200000000000003,2.3585714285714285,2.3150238095238094,-0.0009285714285716118,-110.0,-106.33333333333333,1.0
1991-02-28,0.9878947368421052,0.9055045948203843,0,6.6,0.1999999999999993,6.433333333333334,1.2999999999999998,484000.0,459583.3333333333,35.10118632240056,-0.7388505859934114,-2.577958439290029,70.4,-19.099999999999994,2.213684210526316,2.310585213032582,-0.1448872180451124,-323.0,-162.33333333333334,1.0
1991-03-31,1.007,0.9875045948203841,0,6.8,0.20000000000000018,6.6000000000000005,1.5999999999999996,498600.0,474116.6666666667,44.438006952491314,-0.5754418806996231,-3.61869587651098,87.7,-3.5999999999999943,1.98,2.1840852130325814,-0.23368421052631616,-167.0,-200.0,1.0
1991-04-30,1.0909090909090908,1.0286012759170653,0,6.7,-0.09999999999999964,6.7,1.2999999999999998,467250.0,483283.3333333333,29.16378714581893,0.26386186367357567,-3.1105501802648705,81.8,-12.100000000000009,1.903181818181818,2.032288676236045,-0.0768181818181819,-218.0,-236.0,0.0
1991-05-31,1.2840909090909092,1.1273333333333333,0,6.9,0.20000000000000018,6.8,1.5,447000.0,470950.0,25.826882477128787,0.9414187900247617,-2.494978108064083,78.3,-12.299999999999997,1.795909090909091,1.8930303030303028,-0.10727272727272719,-97.0,-160.66666666666666,0.0
1991-06-30,1.328,1.2343333333333335,0,6.9,0.0,6.833333333333333,1.7000000000000002,428600.0,447616.6666666667,18.267108167770417,0.8103066817548354,-2.037136646180182,82.1,-6.200000000000003,1.6780000000000002,1.7923636363636364,-0.11790909090909074,77.0,-79.33333333333333,0.0
1991-07-31,1.355,1.3223636363636364,0,6.8,-0.10000000000000053,6.866666666666667,1.2999999999999998,418250.0,431283.3333333333,13.964577656675758,0.28006062565282264,-1.5908264836979713,82.9,-5.299999999999997,1.6218181818181818,1.6985757575757576,-0.05618181818181833,-40.0,-20.0,0.0
1991-08-31,1.466818181818182,1.3832727272727272,0,6.9,0.10000000000000053,6.866666666666667,1.2000000000000002,431600.0,426150.0,12.32270657124268,-0.0011339613319227837,-1.934469200524247,82.0,5.599999999999994,1.7454545454545454,1.6817575757575758,0.12363636363636354,10.0,15.666666666666666,0.0
1991-09-30,1.4685,1.4301060606060607,0,6.9,0.0,6.866666666666667,1.0,424500.0,424783.3333333333,7.741116751269028,0.7932959445843046,-1.1640559598299127,83.0,10.200000000000003,1.8645,1.7439242424242423,0.11904545454545468,35.0,1.6666666666666667,0.0
1991-10-31,1.615,1.5167727272727276,0,7.0,0.09999999999999964,6.933333333333334,1.0999999999999996,422750.0,426283.3333333333,-0.5878894767783693,-0.054645247872453506,-0.6375380485583504,78.3,14.399999999999999,1.964090909090909,1.8580151515151515,0.09959090909090906,26.0,23.666666666666668,0.0
